,day,start_time,end_time,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,behaviour,notes,patch_focal,treatment,patch_partner,partner_sex
61,1,8:51:38 AM,,",7","1,",n,NA,y,mount,,F,isolated,J,female
62,1,8:52:23 AM,8:53:11 AM,",3","2,",n,NA,n,insemination,,E,isolated,K,female
63,1,8:53:28 AM,,",8",",3",,,,mount,,D,social,E,male
64,1,8:55:00 AM,,",3",",8",,,,mount,,E,isolated,D,male
65,1,9:06:35 AM,,",3","2,",y,y,NA,mount,,E,isolated,K,female
66,1,9:13:56 AM,,",9","6,",n,NA,y,mount,,A,social,N,female
67,1,9:14:37 AM,,",2",",9",,,,mount,,G,isolated,A,male
68,1,9:14:45 AM,,",5","6,",n,NA,y,mount,,C,social,N,female
69,1,9:15:11 AM,9:15:48 AM,",8","6,",n,NA,n,insemination,,D,social,N,female
70,1,9:16:54 AM,,",8","6,",n,NA,y,mount,,D,social,N,female
71,1,9:21:26 AM,,",8","2,",n,NA,y,mount,,D,social,K,female
72,1,9:21:52 AM,,",3","2,",y,y,NA,mount,,E,isolated,K,female
73,1,9:22:58 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
74,1,9:24:17 AM,,",8","5,",n,NA,y,mount,,D,social,M,female
75,1,9:25:20 AM,,",1",",8",,,,mount,,B,social,D,male
76,1,9:26:25 AM,,",7",",8",,,,mount,,F,isolated,D,male
77,1,9:27:00 AM,,",7",",8",,,,mount,,F,isolated,D,male
78,1,9:28:39 AM,,",3","2,",y,y,NA,mount,,E,isolated,K,female
79,1,9:38:30 AM,,",3","2,",y,y,NA,mount,,E,isolated,K,female
80,1,9:40:19 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
81,1,9:41:45 AM,,",8","4,",n,NA,y,mount,,D,social,L,female
82,1,9:42:11 AM,,",5",",2",,,,mount,,C,social,G,male
83,1,9:43:33 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
84,1,9:43:52 AM,,",1","4,",n,NA,y,mount,,B,social,L,female
85,1,9:49:51 AM,,",8",",1",,,,mount,,D,social,B,male
86,1,9:50:13 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
87,1,9:50:33 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
88,1,9:52:52 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
89,1,10:05:29 AM,,",7",",1",,,,mount,,F,isolated,B,male
90,1,10:06:11 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
91,1,10:15:22 AM,,",3","2,",y,y,NA,mount,,E,isolated,K,female
92,1,10:16:06 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
93,1,10:18:29 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
94,1,10:22:12 AM,,",8","0,",y,y,NA,mount,,D,social,I,female
95,1,10:22:25 AM,,",7","5,",n,NA,y,mount,,F,isolated,M,female
96,1,10:22:39 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
97,1,10:23:07 AM,,",8",",7",,,,mount,,D,social,F,male
98,1,10:23:16 AM,,",1",",7",,,,mount,,B,social,F,male
99,1,10:23:41 AM,,",1",",8",,,,mount,,B,social,D,male
100,1,10:26:04 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
101,1,10:26:30 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
102,1,10:28:30 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
103,1,10:29:36 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
104,1,10:33:35 AM,,",8","2,",n,NA,y,mount,,D,social,K,female
105,1,10:33:42 AM,,",1",",8",,,,mount,,B,social,D,male
106,1,10:34:27 AM,,",7","2,",n,NA,y,mount,,F,isolated,K,female
107,1,10:35:11 AM,,",9","2,",y,y,NA,mount,,A,social,K,female
108,1,10:35:33 AM,,",7",",8",,,,mount,,F,isolated,D,male
109,1,10:35:41 AM,,",1",",8",,,,mount,,B,social,D,male
110,1,10:37:58 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
111,1,10:38:34 AM,,",1","5,",n,NA,y,mount,,B,social,M,female
112,1,10:40:20 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
113,1,10:41:56 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
114,1,10:42:57 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
115,1,10:43:49 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
116,1,10:45:24 AM,,",1",",7",,,,mount,,B,social,F,male
117,1,10:45:41 AM,,",8",",1",,,,mount,,D,social,B,male
118,1,10:46:04 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
119,1,10:47:14 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
120,1,10:47:54 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
121,1,10:48:42 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
122,1,10:49:18 AM,,",8",",1",,,,mount,,D,social,B,male
123,1,10:49:25 AM,,",7",",8",,,,mount,,F,isolated,D,male
124,1,10:49:31 AM,,",1",",8",,,,mount,,B,social,D,male
125,1,11:09:14 AM,,",3","2,",n,NA,y,mount,,E,isolated,K,female
126,1,11:11:02 AM,,",8",",7",,,,mount,,D,social,F,male
127,1,11:12:15 AM,,",8","0,",n,NA,y,mount,,D,social,I,female
